"Class","Package","File","Role","AndroidSpecific","NetworkApi","RoomSqlite","Auth0Okta","CameraMlkitOcr","Jira","N8nAutomation","AiGateway","Coupling","Classification","Shared","RefactoringNeeded","Priority"
"ScanAssetActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\ScanAssetActivity.java","See package-level mapping","True","False","False","False","True","True","True","True","High","ANDROID-ONLY","No","None","P3"
"ScanOutActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\ScanOutActivity.java","See package-level mapping","True","False","False","False","True","True","True","True","High","ANDROID-ONLY","No","None","P3"
"SplashActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\SplashActivity.java","See package-level mapping","True","False","False","True","False","False","False","False","High","ANDROID-ONLY","No","None","P3"
"StockWidget","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\StockWidget.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"TicketListActivity","com.example.stockit","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\TicketListActivity.java","See package-level mapping","True","False","False","True","False","True","False","False","High","ANDROID-ONLY","No","None","P3"
"AIInsightAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\AIInsightAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"ArticleAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\ArticleAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"AssetTicketCoordinator","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\AssetTicketCoordinator.java","See package-level mapping","True","False","False","False","False","False","True","False","Medium","ANDROID-ONLY","No","None","P3"
"AuditLogAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\AuditLogAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"CategoryAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\CategoryAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"ChatAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\ChatAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"ClaimAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\ClaimAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"MainController","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\MainController.java","See package-level mapping","True","True","False","True","False","True","True","True","High","SHARED AFTER REFACTORING","Partial","Extract use cases from Android orchestrator","P0"
"NotificationHelper","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\NotificationHelper.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"POBlockAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\POBlockAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"ProductAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\ProductAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"ProfileAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\ProfileAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"PurchaseOrderAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\PurchaseOrderAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"ReportWorker","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\ReportWorker.java","See package-level mapping","True","False","False","False","False","False","True","False","Medium","ANDROID-ONLY","No","None","P3"
"ShippingOrderAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\ShippingOrderAdapter.java","See package-level mapping","True","True","False","False","False","True","False","False","High","ANDROID-ONLY","No","None","P3"
"StockMovementAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\StockMovementAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"SupplierAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\SupplierAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"TicketAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\TicketAdapter.java","See package-level mapping","True","False","False","False","False","True","False","False","High","ANDROID-ONLY","No","None","P3"
"TimelineAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\TimelineAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"UserAdapter","com.example.stockit.controller","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\controller\UserAdapter.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"AIInsight","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\AIInsight.java","See package-level mapping","False","False","False","False","False","False","False","False","Low","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"AIService","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\AIService.java","See package-level mapping","True","True","False","False","False","False","False","True","High","ANDROID-ONLY","No","None","P3"
"AnalyzedTicket","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\AnalyzedTicket.java","See package-level mapping","True","False","True","False","False","True","False","True","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"AnalyzedTicketDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\AnalyzedTicketDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"ApiService","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\ApiService.java","See package-level mapping","True","True","False","False","False","False","False","False","High","ANDROID-ONLY","No","None","P3"
"AppDatabase","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\AppDatabase.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"AuditLog","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\AuditLog.java","See package-level mapping","True","False","True","False","False","False","False","False","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"AuditLogDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\AuditLogDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"Category","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\Category.java","See package-level mapping","True","False","True","False","False","False","False","False","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"CategoryDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\CategoryDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"ChatMessage","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\ChatMessage.java","See package-level mapping","False","False","False","False","False","False","False","False","Low","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"Claim","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\Claim.java","See package-level mapping","True","False","True","False","False","False","False","False","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"ClaimDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\ClaimDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"HFVisionResponse","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\HFVisionResponse.java","See package-level mapping","False","False","False","False","False","False","False","False","Low","ANDROID-ONLY","No","None","P3"
"HuggingFaceApiService","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\HuggingFaceApiService.java","See package-level mapping","True","True","False","False","False","False","False","False","High","ANDROID-ONLY","No","None","P3"
"JiraTicket","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\JiraTicket.java","See package-level mapping","False","False","False","False","False","True","False","False","Low","SHARED AFTER REFACTORING","Yes","Rewrite in Kotlin with coroutines and injected config","P1"
"Product","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\Product.java","See package-level mapping","True","False","True","False","False","False","False","False","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"ProductDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\ProductDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"PurchaseOrder","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\PurchaseOrder.java","See package-level mapping","True","False","True","False","False","False","False","False","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"PurchaseOrderDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\PurchaseOrderDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"Quest","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\Quest.java","See package-level mapping","True","False","True","False","False","False","False","False","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"QuestDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\QuestDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"ShippingOrder","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\ShippingOrder.java","See package-level mapping","True","False","True","False","False","False","False","False","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"ShippingOrderDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\ShippingOrderDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"StockMovement","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\StockMovement.java","See package-level mapping","True","False","True","False","False","True","False","False","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"StockMovementDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\StockMovementDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"Supplier","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\Supplier.java","See package-level mapping","True","False","True","False","False","False","False","False","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"SupplierDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\SupplierDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"User","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\User.java","See package-level mapping","True","False","True","False","False","False","False","False","High","SHARED AFTER REFACTORING","Yes","Split domain models from Room entities","P1"
"UserDao","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\UserDao.java","See package-level mapping","True","False","True","False","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Abstract repository plus platform storage implementation","P1"
"ZycusApiService","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\ZycusApiService.java","See package-level mapping","True","True","False","False","False","False","False","False","High","ANDROID-ONLY","No","None","P3"
"ZycusPR","com.example.stockit.model","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\model\ZycusPR.java","See package-level mapping","False","False","False","False","False","False","False","False","Low","ANDROID-ONLY","No","None","P3"
"Auth0Manager","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\Auth0Manager.java","See package-level mapping","True","True","False","True","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Shared auth contract with Android and iOS secure token impl","P1"
"AuthBearerInterceptor","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\AuthBearerInterceptor.java","See package-level mapping","True","True","False","True","False","True","False","True","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Shared auth contract with Android and iOS secure token impl","P1"
"BarcodeOverlay","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\BarcodeOverlay.java","See package-level mapping","True","False","False","False","True","False","False","False","High","ANDROID-ONLY","No","None","P3"
"DeliveryNoteParser","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\DeliveryNoteParser.java","See package-level mapping","True","True","False","True","True","False","False","True","High","SHARED AFTER REFACTORING","Yes","Rewrite in Kotlin with coroutines and injected config","P1"
"GeminiGatewayClient","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\GeminiGatewayClient.java","See package-level mapping","True","True","False","True","True","False","False","True","High","SHARED AFTER REFACTORING","Yes","Rewrite in Kotlin with coroutines and injected config","P1"
"ImageOptimizerUtil","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\ImageOptimizerUtil.java","See package-level mapping","True","False","False","False","True","False","False","False","High","SHARED AFTER REFACTORING","Yes","Rewrite in Kotlin with coroutines and injected config","P1"
"JiraClient","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\JiraClient.java","See package-level mapping","True","True","False","False","True","True","False","False","High","SHARED AFTER REFACTORING","Yes","Rewrite in Kotlin with coroutines and injected config","P1"
"JiraReader","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\JiraReader.java","See package-level mapping","True","True","False","False","False","True","False","False","High","SHARED AFTER REFACTORING","Yes","Rewrite in Kotlin with coroutines and injected config","P1"
"KitAntiOubliDialog","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\KitAntiOubliDialog.java","See package-level mapping","True","False","False","False","False","True","False","False","High","ANDROID-ONLY","No","None","P3"
"PackageLabelParser","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\PackageLabelParser.java","See package-level mapping","True","True","False","True","True","False","False","True","High","SHARED AFTER REFACTORING","Yes","Rewrite in Kotlin with coroutines and injected config","P1"
"PdfReportGenerator","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\PdfReportGenerator.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
"SessionManager","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\SessionManager.java","See package-level mapping","True","False","False","True","False","False","False","False","High","COMMON INTERFACE / PLATFORM IMPLEMENTATION","Interface","Shared auth contract with Android and iOS secure token impl","P1"
"SlackNotifier","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\SlackNotifier.java","See package-level mapping","True","True","False","False","False","False","True","False","High","SHARED AFTER REFACTORING","Yes","Rewrite in Kotlin with coroutines and injected config","P1"
"StockItReporter","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\StockItReporter.java","See package-level mapping","True","True","False","True","True","False","True","False","High","SHARED AFTER REFACTORING","Yes","Rewrite in Kotlin with coroutines and injected config","P1"
"TicketMatcher","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\TicketMatcher.java","See package-level mapping","True","True","False","True","False","True","False","True","High","SHARED AFTER REFACTORING","Yes","Rewrite in Kotlin with coroutines and injected config","P1"
"VistaSnackbar","com.example.stockit.util","C:\Users\souss\Desktop\StockIT - doua\StockIT\app\src\main\java\com\example\stockit\util\VistaSnackbar.java","See package-level mapping","True","False","False","False","False","False","False","False","Medium","ANDROID-ONLY","No","None","P3"
